Scientific Name,Primary,Class,Order,Family,Genus,Species,Authority,Infrarank,Infrarank Type,Infrarank Authority,Red List Species ID,Modified Year,Category,Criteria
Apristurus parvipinnis,TRUE,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,parvipinnis,"Springer &amp; Heemstra, 1979",,,,44221,2004,DD,
Apristurus pinguis,TRUE,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,pinguis,"Deng, Xiong &amp; Zhan, 1983",,,,44222,2015,LC,
Apristurus platyrhynchus,TRUE,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,platyrhynchus,"(Tanaka, 1909)",,,,44223,2015,LC,
Apristurus profundorum,TRUE,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,profundorum,"(Goode &amp; Bean, 1896)",,,,44224,2004,DD,
Apristurus riveri,TRUE,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,riveri,"Bigelow &amp; Schroeder, 1944",,,,44639,2007,DD,
Apristurus saldanha,TRUE,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,saldanha,"(Barnard, 1925)",,,,44602,2004,LC,
Apristurus sibogae,TRUE,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,sibogae,"(Weber, 1913)",,,,161672,2009,DD,
Apristurus sinensis,TRUE,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,sinensis,"Chu &amp; Hu, 1981",,,,44225,2015,DD,
Apristurus spongiceps,TRUE,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,spongiceps,"(Gilbert, 1905)",,,,44226,2015,DD,
Apristurus stenseni,TRUE,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,stenseni,"(Springer, 1979)",,,,44574,2004,DD,
Aptychotrema rostrata,TRUE,CHONDRICHTHYES,RAJIFORMES,RHINOBATIDAE,Aptychotrema,rostrata,"(Shaw, 1794)",,,,161596,2015,LC,
Aptychotrema timorensis,TRUE,CHONDRICHTHYES,RAJIFORMES,RHINOBATIDAE,Aptychotrema,timorensis,"Last, 2004",,,,60179,2015,VU,B1ab(v)
Aptychotrema vincentiana,TRUE,CHONDRICHTHYES,RAJIFORMES,RHINOBATIDAE,Aptychotrema,vincentiana,"(Haacke, 1885)",,,,44186,2015,LC,
Arhynchobatis asperrimus,TRUE,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Arhynchobatis,asperrimus,"Waite, 1909",,,,161577,2009,DD,
Asymbolus analis,TRUE,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Asymbolus,analis,"(Ogilby, 1885)",,,,41720,2015,LC,
Asymbolus funebris,TRUE,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Asymbolus,funebris,"Compagno, Stevens &amp; Last, 1999",,,,41721,2003,DD,
Asymbolus galacticus,TRUE,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Asymbolus,galacticus,"Sí©ret &amp; Last, 2008",,,,195421,2011,LC,
Asymbolus occiduus,TRUE,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Asymbolus,occiduus,"Last, Gomon &amp; Gledhill, 1999",,,,41722,2003,LC,
